pid,artist,location,label,_date,object_type,source,current_location,order,thumbnail,full,manifest
obj1,"Seguy, E. (Eugene)",France,Insectes [patterns],1920,Plate 20,https://d.lib.ncsu.edu/collections/catalog/segIns_023,NCSU Libraries Special Collections Research Center,0,"/img/derivatives/iiif/images/obj1/full/250,/0/default.jpg","/img/derivatives/iiif/images/obj1/full/1140,/0/default.jpg",/img/derivatives/iiif/obj1/manifest.json
obj2,"Seguy, E. (Eugene)",France,Insectes [patterns],1920,Plate 18,https://d.lib.ncsu.edu/collections/catalog/segIns_021,NCSU Libraries Special Collections Research Center,1,"/img/derivatives/iiif/images/obj2/full/250,/0/default.jpg","/img/derivatives/iiif/images/obj2/full/1140,/0/default.jpg",/img/derivatives/iiif/obj2/manifest.json
obj3,"Seguy, E. (Eugene)",France,Insectes [patterns],1920,Plate 19,https://d.lib.ncsu.edu/collections/catalog/segIns_022,NCSU Libraries Special Collections Research Center,2,"/img/derivatives/iiif/images/obj3/full/250,/0/default.jpg","/img/derivatives/iiif/images/obj3/full/1140,/0/default.jpg",/img/derivatives/iiif/obj3/manifest.json
obj4,"Seguy, E. (Eugene)",France,Insectes [patterns],1920,Plate 16,https://d.lib.ncsu.edu/collections/catalog/segIns_019,NCSU Libraries Special Collections Research Center,3,"/img/derivatives/iiif/images/obj4/full/250,/0/default.jpg","/img/derivatives/iiif/images/obj4/full/1140,/0/default.jpg",/img/derivatives/iiif/obj4/manifest.json
